model,precision,recall,f1,top_level_f1,other_fields_f1,schema_validity
Baseline (Qwen Instruct),0.46958185669003255,0.47648774172460057,0.4680664746798327,0.5840383669134164,0.392833710092224,0.23333333333333334
Pipeline,0.7251073043090007,0.6761188018734878,0.6923572371943784,0.839736878446994,0.592305186532444,1.0
